Date,Open,High,Low,Close,Adj Close,Volume
6/1/17,241.970001,243.380005,241.639999,243.360001,233.122589,68962000
6/2/17,243.419998,244.350006,243.080002,244.169998,233.89856,88666100
6/5/17,243.970001,244.300003,243.759995,243.990005,233.726135,44698800
6/6/17,243.339996,243.979996,243.119995,243.210007,232.978943,50375400
6/7/17,243.600006,243.919998,242.830002,243.660004,233.410004,54144300
6/8/17,243.770004,244.330002,243.169998,243.779999,233.524963,63989800
6/9/17,244.089996,245.009995,241.949997,243.410004,233.170502,132256400
6/12/17,243.130005,243.419998,242.380005,243.360001,233.122589,86108100
6/13/17,243.979996,244.610001,243.580002,244.550003,234.262573,60067000
6/14/17,244.860001,244.869995,243.289993,244.240005,233.965591,78602300
6/15/17,242.679993,243.910004,242.360001,243.770004,233.515381,66464900
6/16/17,242.770004,242.830002,241.630005,242.639999,233.566391,84553100
6/19/17,243.589996,244.729996,243.479996,244.660004,235.510864,65123800
6/20/17,244.25,244.259995,242.990005,243.009995,233.922546,56906400
6/21/17,243.460007,243.589996,242.410004,242.949997,233.864777,55977600
6/22/17,242.960007,243.529999,242.639999,242.839996,233.758881,44148100
6/23/17,242.910004,243.509995,242.470001,243.130005,234.038086,66986800
6/26/17,243.899994,244.380005,243.050003,243.289993,234.192062,56700500
6/27/17,243.039993,243.380005,241.309998,241.330002,232.305359,82247700
6/28/17,242.5,243.720001,242.229996,243.490005,234.384598,70042600
6/29/17,243.660004,243.720001,239.960007,241.350006,232.324631,106949700
6/30/17,242.279999,242.710007,241.580002,241.800003,232.757828,86820700
7/3/17,242.880005,243.380005,242.210007,242.210007,233.152466,39153800
7/5/17,242.630005,243.009995,241.699997,242.770004,233.691544,54427600
7/6/17,241.889999,242.029999,240.339996,240.550003,231.55455,65400800
7/7/17,241.210007,242.279999,240.559998,242.110001,233.056213,57972300
7/10/17,242.110001,242.800003,241.759995,242.369995,233.306473,36663300
7/11/17,242.369995,242.550003,240.850006,242.190002,233.133224,50354600
7/12/17,243.300003,244.199997,243.300003,244.009995,234.885178,59610400
7/13/17,244.020004,244.550003,243.759995,244.419998,235.279816,39471600
7/14/17,244.419998,245.970001,244.309998,245.559998,236.377182,60262700
7/17/17,245.470001,245.910004,245.330002,245.529999,236.348328,33531900
7/18/17,245.059998,245.720001,244.669998,245.660004,236.473465,42742500
7/19/17,246.020004,247,246.009995,246.990005,237.753723,51034300
7/20/17,247.279999,247.419998,246.470001,247.100006,237.859619,47135200
7/21/17,246.440002,246.910004,246.179993,246.880005,237.647842,82340800
7/24/17,246.789993,246.979996,246.279999,246.820007,237.590103,46622300
7/25/17,247.679993,247.800003,247.160004,247.419998,238.167633,54915600
7/26/17,247.75,247.789993,247.130005,247.429993,238.177261,47575400
7/27/17,247.960007,248,245.679993,247.199997,237.955872,70766600
7/28/17,246.649994,247.059998,246.130005,246.910004,237.676727,50088400
7/31/17,247.369995,247.479996,246.529999,246.770004,237.541946,65838700
8/1/17,247.460007,247.5,246.720001,247.320007,238.071411,55050400
8/2/17,247.470001,247.600006,246.369995,247.440002,238.18689,47211200
8/3/17,247.309998,247.339996,246.639999,246.960007,237.724869,40856000
8/4/17,247.520004,247.789993,246.970001,247.410004,238.15802,60191800
8/7/17,247.490005,247.869995,247.369995,247.869995,238.600784,31995000
8/8/17,247.509995,248.910004,246.830002,247.259995,238.013611,61719400
8/9/17,246.470001,247.309998,246.059998,247.25,238.003998,62632600
8/10/17,246.289993,246.440002,243.699997,243.759995,234.644501,120479500
8/11/17,244.020004,244.800003,243.75,244.119995,234.991074,74869900
8/14/17,245.589996,246.789993,245.550003,246.539993,237.320526,72139000
8/15/17,246.979996,247,246.160004,246.509995,237.291687,55242700
8/16/17,247.110001,247.570007,246.449997,246.940002,237.705582,56715500
8/17/17,246.240005,246.600006,243.089996,243.089996,233.999557,128490400
8/18/17,242.899994,244.190002,242.199997,242.710007,233.633774,136748000
8/21/17,242.639999,243.199997,241.830002,242.899994,233.816666,65469700
8/22/17,243.570007,245.619995,243.550003,245.440002,236.261703,63140100
8/23/17,244.330002,245.050003,244.160004,244.559998,235.414597,50203800
8/24/17,245,245.179993,243.75,243.990005,234.865921,49730500
8/25/17,244.899994,245.610001,244.389999,244.559998,235.414597,64445900
8/28/17,245.169998,245.199997,244.089996,244.570007,235.424225,40565600
8/29/17,243.059998,245.149994,242.929993,244.850006,235.693756,51135700
8/30/17,244.830002,246.320007,244.619995,246.009995,236.810349,62030800
8/31/17,246.720001,247.770004,246.050003,247.490005,238.235031,103803900
9/1/17,247.919998,248.330002,247.669998,247.839996,238.57193,62007000
9/5/17,247.259995,247.520004,244.949997,246.059998,236.85849,91398800
9/6/17,246.839996,247.279999,246.229996,246.899994,237.667053,57916900
9/7/17,247.25,247.270004,246.399994,246.869995,237.638229,58034700
9/8/17,246.539993,247.110001,246.300003,246.580002,237.359055,63832800
9/11/17,248.039993,249.300003,248.020004,249.210007,239.890701,71364800
9/12/17,249.630005,250.089996,249.419998,250.050003,240.69928,56896000
9/13/17,249.720001,250.210007,249.589996,250.169998,240.814804,59228000
9/14/17,249.800003,250.320007,249.600006,250.089996,240.737793,95446300
9/15/17,248.690002,249.289993,248.570007,249.190002,241.06189,95432400
9/18/17,249.610001,250.119995,249.279999,249.720001,241.5746,46235200
9/19/17,250,250.070007,249.600006,249.970001,241.816437,47108100
9/20/17,250.070007,250.190002,248.919998,250.059998,241.903488,59574100
9/21/17,249.880005,249.979996,249.190002,249.389999,241.255356,48211400
9/22/17,249.050003,249.630005,249.020004,249.440002,241.303711,51214000
9/25/17,249.149994,249.550003,248.080002,248.929993,240.810349,57064400
9/26/17,249.419998,249.699997,248.809998,249.080002,240.955475,54082000
9/27/17,249.880005,250.490005,248.869995,250.050003,241.893814,81001400
9/28/17,249.729996,250.440002,249.630005,250.350006,242.184036,44778800
9/29/17,250.339996,251.320007,250.130005,251.229996,243.035339,85578000
10/2/17,251.490005,252.320007,251.289993,252.320007,244.089783,59023000
10/3/17,252.320007,252.889999,252.229996,252.860001,244.612167,66810200
10/4/17,252.690002,253.440002,252.559998,253.160004,244.90239,55953600
10/5/17,253.539993,254.679993,253.199997,254.660004,246.353455,63522800
10/6/17,254.149994,254.699997,253.850006,254.369995,246.072891,80646000
10/9/17,254.630005,254.699997,253.649994,253.949997,245.666611,35803100
10/10/17,254.600006,255.050003,253.979996,254.619995,246.314743,43057400
10/11/17,254.509995,255.020004,254.320007,255.020004,246.701721,47674300
10/12/17,254.660004,255.059998,254.369995,254.639999,246.334091,47065100
10/13/17,255.139999,255.270004,254.639999,254.949997,246.634003,54800400
10/16/17,255.210007,255.509995,254.820007,255.289993,246.962875,38221700
10/17/17,255.229996,255.520004,254.979996,255.470001,247.137039,31561000
10/18/17,255.899994,255.949997,255.5,255.720001,247.378891,40888300
10/19/17,254.830002,255.830002,254.350006,255.789993,247.446594,61903800
10/20/17,256.700012,257.140015,255.770004,257.109985,248.723526,89176400
10/23/17,257.480011,257.51001,256.019989,256.109985,247.756119,63915300
10/24/17,256.600006,256.829987,256.149994,256.559998,248.191483,66935900
10/25/17,256.179993,256.309998,254,255.289993,246.962875,103715300
10/26/17,255.990005,256.299988,255.479996,255.619995,247.282135,69798000
10/27/17,256.470001,257.890015,255.630005,257.709991,249.303955,85562500
10/30/17,256.470001,257.600006,256.410004,256.75,248.37529,54285700
10/31/17,257.179993,257.440002,256.809998,257.149994,248.762222,60304800
11/1/17,258.040009,258.429993,257.070007,257.48999,249.09111,54202700
11/2/17,257.410004,257.75,256.190002,257.589996,249.187881,56449500
11/3/17,257.769989,258.5,257.299988,258.450012,250.019852,59589700
11/6/17,258.299988,259,258.220001,258.850006,250.406799,46831700
11/7/17,258.970001,259.350006,258.089996,258.670013,250.232666,57502200
11/8/17,258.470001,259.220001,258.149994,259.109985,250.658264,50469600
11/9/17,257.730011,258.390015,256.359985,258.170013,249.748978,95085500
11/10/17,257.730011,258.290009,257.369995,258.089996,249.671555,59984700
11/13/17,257.309998,258.589996,257.269989,258.329987,249.903748,50228600
11/14/17,257.410004,257.850006,256.519989,257.730011,249.323318,61315200
11/15/17,256.619995,257.220001,255.630005,256.440002,248.075409,80811500
11/16/17,257.519989,259.040009,257.470001,258.619995,250.18428,67777000
11/17/17,258.220001,258.589996,257.769989,257.859985,249.449066,75756800
11/20/17,258.140015,258.519989,257.859985,258.299988,249.87471,48075500
11/21/17,259.179993,260.200012,258.26001,259.98999,251.509583,69176800
11/22/17,260,260.149994,259.570007,259.76001,251.28714,45033400
11/24/17,260.320007,260.480011,260.160004,260.359985,251.867538,27856500
11/27/17,260.410004,260.75,260,260.230011,251.74176,52274900
11/28/17,260.76001,262.899994,260.649994,262.869995,254.29567,98971700
11/29/17,263.019989,263.630005,262.200012,262.709991,254.140854,77512100
11/30/17,263.76001,266.049988,263.670013,265.01001,256.365875,127894400
12/1/17,264.76001,265.309998,260.76001,264.459991,255.833832,164390900
12/4/17,266.309998,266.799988,264.079987,264.140015,255.524216,94040600
12/5/17,263.190002,265.149994,263.040009,263.190002,254.605225,77994500
12/6/17,263.299988,263.730011,262.709991,263.23999,254.653595,75898600
12/7/17,264.070007,264.429993,262.940002,264.070007,255.456543,77218600
12/8/17,265.160004,265.519989,264.029999,265.51001,256.849548,76563900
12/11/17,266.309998,266.380005,265.480011,266.309998,257.623474,83077500
12/12/17,267.209991,267.320007,266.350006,266.779999,258.078094,85195800
12/13/17,267.059998,267.559998,266.649994,266.75,258.049133,102905400
12/14/17,267.089996,267.220001,265.600006,265.660004,256.994629,100666700
12/15/17,265.450012,267.040009,265.390015,266.51001,259.134796,144610300
12/18/17,268.100006,268.600006,267.980011,268.200012,260.777985,83653600
12/19/17,268.480011,268.529999,267.089996,267.170013,259.77652,82382900
12/20/17,268.269989,268.329987,266.690002,267.029999,259.64035,76751500
12/21/17,267.73999,268.390015,267.299988,267.579987,260.17514,67032300
12/22/17,267.600006,267.640015,266.899994,267.51001,260.107086,78720900
12/26/17,267.049988,267.440002,266.890015,267.190002,259.795959,45244400
12/27/17,267.380005,267.730011,267.01001,267.320007,259.922333,57751000
12/28/17,267.890015,267.920013,267.450012,267.869995,260.457123,45116100
12/29/17,268.529999,268.549988,266.640015,266.859985,259.475067,96007400
1/2/18,267.839996,268.809998,267.399994,268.769989,261.332214,86655700
1/3/18,268.959991,270.640015,268.959991,270.470001,262.985138,90070400
1/4/18,271.200012,272.160004,270.540009,271.609985,264.093597,80636400
1/5/18,272.51001,273.559998,271.950012,273.420013,265.853516,83524000
1/8/18,273.309998,274.100006,272.980011,273.920013,266.339691,57319200
1/9/18,274.399994,275.25,274.079987,274.540009,266.942566,57254000
1/10/18,273.679993,274.420013,272.920013,274.119995,266.534149,69574300
1/11/18,274.75,276.119995,274.559998,276.119995,268.47879,62361500
1/12/18,276.420013,278.109985,276.079987,277.920013,270.229004,90816100
1/16/18,279.350006,280.089996,276.179993,276.970001,269.305298,106555100
1/17/18,278.029999,280.049988,276.970001,279.609985,271.872192,109354500
1/18/18,279.480011,279.959991,278.579987,279.140015,271.415253,100728000
1/19/18,279.799988,280.410004,279.140015,280.410004,272.650085,140920100
1/22/18,280.170013,282.690002,280.109985,282.690002,274.866974,91322400
1/23/18,282.73999,283.619995,282.369995,283.290009,275.450409,97084700
1/24/18,284.019989,284.700012,281.839996,283.179993,275.343445,134816100
1/25/18,284.160004,284.269989,282.399994,283.299988,275.460052,84587300
1/26/18,284.25,286.630005,283.959991,286.579987,278.649353,107743100
1/29/18,285.929993,286.429993,284.5,284.679993,276.80188,90118300
1/30/18,282.600006,284.73999,281.220001,281.76001,273.962738,131796400
1/31/18,282.730011,283.299988,280.679993,281.899994,274.098877,108364800
2/1/18,281.070007,283.059998,280.679993,281.579987,273.78772,90102500
2/2/18,280.079987,280.230011,275.410004,275.450012,267.827393,173174800
2/5/18,273.450012,275.850006,263.309998,263.929993,256.626129,294681800
2/6/18,259.940002,269.700012,258.700012,269.130005,261.682251,355026800
2/7/18,268.5,272.359985,267.579987,267.670013,260.262634,167376100
2/8/18,268.01001,268.170013,257.589996,257.630005,250.500504,246449500
2/9/18,260.799988,263.609985,252.919998,261.5,254.263397,283565300
2/12/18,263.829987,267.01001,261.660004,265.339996,257.997101,143736000
2/13/18,263.970001,266.619995,263.309998,266,258.638885,81223600
2/14/18,264.309998,270,264.299988,269.589996,262.129517,120735700
2/15/18,271.570007,273.040009,268.769989,273.029999,265.474304,111200300
2/16/18,272.320007,275.320007,272.269989,273.109985,265.552063,160420100
2/20/18,272.029999,273.670013,270.5,271.399994,263.889374,86369700
2/21/18,271.899994,274.720001,269.940002,270.049988,262.576752,98883700
2/22/18,271.100006,273.049988,269.640015,270.399994,262.917084,110511300
2/23/18,271.790009,274.709991,271.25,274.709991,267.107819,92766400
2/26/18,275.929993,278.01001,275.26001,277.899994,270.209564,86491400
2/27/18,278.109985,278.920013,274.359985,274.429993,266.835571,99099200
2/28/18,275.679993,276.190002,271.290009,271.649994,264.132507,121907800
3/1/18,271.410004,273.170013,266,267.700012,260.29184,176855100
3/2/18,265.799988,269.720001,264.820007,269.079987,261.633636,139083200
3/5/18,267.730011,272.890015,267.609985,272.190002,264.657562,97307400
3/6/18,273.299988,273.390015,271.179993,272.880005,265.328491,79213200
3/7/18,270.420013,273.179993,270.200012,272.779999,265.231262,87063500
3/8/18,273.549988,274.23999,272.420013,274.100006,266.51474,66901200
3/9/18,275.700012,278.869995,275.339996,278.869995,271.15271,113625300
3/12/18,279.200012,279.910004,278.079987,278.519989,270.812408,71924800
3/13/18,279.839996,280.410004,276.029999,276.720001,269.062225,91968900
